id	title	description	price	condition	link	availability	image_link
kanchipuram-red	Kanchipuram Pure Silk — Red & Gold Zari	Semi silk with rich gold zari — heavy, glossy, the pride of Tamil Nadu weaving. Semi silk with gold zari - Red / Maroon / Green	2499 INR	new	http://localhost:8150/product.html?id=kanchipuram-red	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
banarasi-purple	Banarasi Silk — Royal Purple & Gold	Classic semi-silk weave with intricate gold paisley motifs — rich sheen for grand celebrations. Semi silk, kadhwa weave - Purple / Maroon / Teal	1899 INR	new	http://localhost:8150/product.html?id=banarasi-purple	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
soft-silk-rose	Soft Silk — Rose Pink Golden Border	Feather-light soft silk that drapes beautifully — comfortable all-day wear. Semi silk (light, skin-friendly) - Rose Pink / Lavender / Sky Blue	1499 INR	new	http://localhost:8150/product.html?id=soft-silk-rose	in stock	http://localhost:8150/images/products/soft-silk.jpg
cotton-silk-emerald	Cotton Silk — Emerald Green Temple	Perfect mix of cotton comfort and silk sheen with classic temple border. Cotton silk blend - Emerald / Maroon / Navy	999 INR	new	http://localhost:8150/product.html?id=cotton-silk-emerald	in stock	http://localhost:8150/images/products/cotton-silk.jpg
handloom-mustard	Handloom Cotton — Mustard & Teal	Our most-loved handloom weave — soft, breathable, gets softer with every wash. 100% handloom cotton - Mustard / Teal / Indigo	749 INR	new	http://localhost:8150/product.html?id=handloom-mustard	in stock	http://localhost:8150/images/products/handloom-cotton.jpg
printed-sky	Printed Cotton — Sky Blue Floral	Lightweight daily-wear cotton with a fresh floral print. Pure cotton, printed - Sky Blue / Pink / Mint	649 INR	new	http://localhost:8150/product.html?id=printed-sky	in stock	http://localhost:8150/images/products/printed-cotton.jpg
georgette-turquoise	Georgette — Turquoise Sequin Border	Flow-y georgette with shimmering sequin border — drapes elegantly. Georgette with sequin border - Turquoise / Peach / Lavender	899 INR	new	http://localhost:8150/product.html?id=georgette-turquoise	in stock	http://localhost:8150/images/products/georgette.jpg
party-navy	Party Wear — Navy Blue Sequins	Designer party wear with all-over gold sequin embroidery. Georgette, sequin & zari embroidery - Navy / Black / Wine	1299 INR	new	http://localhost:8150/product.html?id=party-navy	in stock	http://localhost:8150/images/products/party-wear.jpg
organza-lavender	Organza — Lavender Pearl Accents	Airy organza with delicate golden threadwork and pearl accents. Organza with golden threadwork - Lavender / White / Peach	1099 INR	new	http://localhost:8150/product.html?id=organza-lavender	in stock	http://localhost:8150/images/products/organza.jpg
linen-beige	Linen — Beige Brown Stripe	Breathable pure linen — crisp, minimal and effortlessly elegant. Pure linen - Beige / Grey / Sage	849 INR	new	http://localhost:8150/product.html?id=linen-beige	in stock	http://localhost:8150/images/products/linen.jpg
kanchipuram-peacock	Kanchipuram Soft Silk — Peacock Green	Lighter Kanchipuram soft silk with striking peacock-green body. Semi silk - Peacock Green / Blue	2199 INR	new	http://localhost:8150/product.html?id=kanchipuram-peacock	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
fancy-net	Fancy Net — Champagne Stone Work	Trendy net saree with delicate stone work — modern glam. Net with stone & sequin work - Champagne / Rose Gold	1199 INR	new	http://localhost:8150/product.html?id=fancy-net	in stock	http://localhost:8150/images/products/georgette.jpg
half-saree-red	Traditional Half Saree Set — Red & Gold	Traditional pavadai-davani style half saree set — a cherished Tamil tradition. Silk blend two-piece - Red / Maroon	1799 INR	new	http://localhost:8150/product.html?id=half-saree-red	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
kids-lehenga	Kids Silk Lehenga Set — Pink & Gold	Adorable silk lehenga sets — soft, comfortable and party-ready. Soft silk, comfort fit - Pink / Peach	1199 INR	new	http://localhost:8150/product.html?id=kids-lehenga	in stock	http://localhost:8150/images/products/soft-silk.jpg
men-dhoti	Pure Cotton Men Dhoti — Gold Border	Soft pure-cotton dhotis with optional gold zari border. 100% pure cotton - White / Cream	499 INR	new	http://localhost:8150/product.html?id=men-dhoti	in stock	http://localhost:8150/images/products/handloom-cotton.jpg
blouse-material	Designer Blouse Material — Zari Contrast	Premium blouse pieces matched to our saree shades. Matching saree fabric - Multiple options	599 INR	new	http://localhost:8150/product.html?id=blouse-material	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
zari-border	Gold Zari Border & Accessory Pack	Handy gold zari border strips and pins for quick draping. Zari border + pins - Gold / Antique	299 INR	new	http://localhost:8150/product.html?id=zari-border	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
daily-printed	Daily Wear Printed Cotton — Mint	Cool and comfy everyday cotton with a cheerful print. Pure cotton, printed - Mint / Yellow / Blue	549 INR	new	http://localhost:8150/product.html?id=daily-printed	in stock	http://localhost:8150/images/products/printed-cotton.jpg
kanchipuram-red-v1	Kanchipuram Pure Silk — Emerald	Semi silk with rich gold zari — heavy, glossy, the pride of Tamil Nadu weaving. Semi silk with gold zari - Emerald variant	2499 INR	new	http://localhost:8150/product.html?id=kanchipuram-red-v1	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
kanchipuram-red-v2	Kanchipuram Pure Silk — Royal Blue	Semi silk with rich gold zari — heavy, glossy, the pride of Tamil Nadu weaving. Semi silk with gold zari - Royal Blue variant	2374 INR	new	http://localhost:8150/product.html?id=kanchipuram-red-v2	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
kanchipuram-red-v3	Kanchipuram Pure Silk — Wine	Semi silk with rich gold zari — heavy, glossy, the pride of Tamil Nadu weaving. Semi silk with gold zari - Wine variant	2299 INR	new	http://localhost:8150/product.html?id=kanchipuram-red-v3	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
banarasi-purple-v1	Banarasi Silk — Emerald	Classic semi-silk weave with intricate gold paisley motifs — rich sheen for grand celebrations. Semi silk, kadhwa weave - Emerald variant	1899 INR	new	http://localhost:8150/product.html?id=banarasi-purple-v1	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
banarasi-purple-v2	Banarasi Silk — Royal Blue	Classic semi-silk weave with intricate gold paisley motifs — rich sheen for grand celebrations. Semi silk, kadhwa weave - Royal Blue variant	1804 INR	new	http://localhost:8150/product.html?id=banarasi-purple-v2	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
banarasi-purple-v3	Banarasi Silk — Wine	Classic semi-silk weave with intricate gold paisley motifs — rich sheen for grand celebrations. Semi silk, kadhwa weave - Wine variant	1747 INR	new	http://localhost:8150/product.html?id=banarasi-purple-v3	in stock	http://localhost:8150/images/products/banarasi-silk.jpg
soft-silk-rose-v1	Soft Silk — Emerald	Feather-light soft silk that drapes beautifully — comfortable all-day wear. Semi silk (light, skin-friendly) - Emerald variant	1499 INR	new	http://localhost:8150/product.html?id=soft-silk-rose-v1	in stock	http://localhost:8150/images/products/soft-silk.jpg
soft-silk-rose-v2	Soft Silk — Royal Blue	Feather-light soft silk that drapes beautifully — comfortable all-day wear. Semi silk (light, skin-friendly) - Royal Blue variant	1424 INR	new	http://localhost:8150/product.html?id=soft-silk-rose-v2	in stock	http://localhost:8150/images/products/soft-silk.jpg
soft-silk-rose-v3	Soft Silk — Wine	Feather-light soft silk that drapes beautifully — comfortable all-day wear. Semi silk (light, skin-friendly) - Wine variant	1379 INR	new	http://localhost:8150/product.html?id=soft-silk-rose-v3	in stock	http://localhost:8150/images/products/soft-silk.jpg
cotton-silk-emerald-v1	Cotton Silk — Emerald	Perfect mix of cotton comfort and silk sheen with classic temple border. Cotton silk blend - Emerald variant	999 INR	new	http://localhost:8150/product.html?id=cotton-silk-emerald-v1	in stock	http://localhost:8150/images/products/cotton-silk.jpg
cotton-silk-emerald-v2	Cotton Silk — Royal Blue	Perfect mix of cotton comfort and silk sheen with classic temple border. Cotton silk blend - Royal Blue variant	949 INR	new	http://localhost:8150/product.html?id=cotton-silk-emerald-v2	in stock	http://localhost:8150/images/products/cotton-silk.jpg
cotton-silk-emerald-v3	Cotton Silk — Wine	Perfect mix of cotton comfort and silk sheen with classic temple border. Cotton silk blend - Wine variant	919 INR	new	http://localhost:8150/product.html?id=cotton-silk-emerald-v3	in stock	http://localhost:8150/images/products/cotton-silk.jpg
handloom-mustard-v1	Handloom Cotton — Emerald	Our most-loved handloom weave — soft, breathable, gets softer with every wash. 100% handloom cotton - Emerald variant	749 INR	new	http://localhost:8150/product.html?id=handloom-mustard-v1	in stock	http://localhost:8150/images/products/handloom-cotton.jpg
handloom-mustard-v2	Handloom Cotton — Royal Blue	Our most-loved handloom weave — soft, breathable, gets softer with every wash. 100% handloom cotton - Royal Blue variant	712 INR	new	http://localhost:8150/product.html?id=handloom-mustard-v2	in stock	http://localhost:8150/images/products/handloom-cotton.jpg
handloom-mustard-v3	Handloom Cotton — Wine	Our most-loved handloom weave — soft, breathable, gets softer with every wash. 100% handloom cotton - Wine variant	689 INR	new	http://localhost:8150/product.html?id=handloom-mustard-v3	in stock	http://localhost:8150/images/products/handloom-cotton.jpg
printed-sky-v1	Printed Cotton — Emerald	Lightweight daily-wear cotton with a fresh floral print. Pure cotton, printed - Emerald variant	649 INR	new	http://localhost:8150/product.html?id=printed-sky-v1	in stock	http://localhost:8150/images/products/printed-cotton.jpg
printed-sky-v2	Printed Cotton — Royal Blue	Lightweight daily-wear cotton with a fresh floral print. Pure cotton, printed - Royal Blue variant	617 INR	new	http://localhost:8150/product.html?id=printed-sky-v2	in stock	http://localhost:8150/images/products/printed-cotton.jpg
printed-sky-v3	Printed Cotton — Wine	Lightweight daily-wear cotton with a fresh floral print. Pure cotton, printed - Wine variant	597 INR	new	http://localhost:8150/product.html?id=printed-sky-v3	in stock	http://localhost:8150/images/products/printed-cotton.jpg
georgette-turquoise-v1	Georgette — Emerald	Flow-y georgette with shimmering sequin border — drapes elegantly. Georgette with sequin border - Emerald variant	899 INR	new	http://localhost:8150/product.html?id=georgette-turquoise-v1	in stock	http://localhost:8150/images/products/georgette.jpg
georgette-turquoise-v2	Georgette — Royal Blue	Flow-y georgette with shimmering sequin border — drapes elegantly. Georgette with sequin border - Royal Blue variant	854 INR	new	http://localhost:8150/product.html?id=georgette-turquoise-v2	in stock	http://localhost:8150/images/products/georgette.jpg
georgette-turquoise-v3	Georgette — Wine	Flow-y georgette with shimmering sequin border — drapes elegantly. Georgette with sequin border - Wine variant	827 INR	new	http://localhost:8150/product.html?id=georgette-turquoise-v3	in stock	http://localhost:8150/images/products/georgette.jpg
party-navy-v1	Party Wear — Emerald	Designer party wear with all-over gold sequin embroidery. Georgette, sequin & zari embroidery - Emerald variant	1299 INR	new	http://localhost:8150/product.html?id=party-navy-v1	in stock	http://localhost:8150/images/products/party-wear.jpg
party-navy-v2	Party Wear — Royal Blue	Designer party wear with all-over gold sequin embroidery. Georgette, sequin & zari embroidery - Royal Blue variant	1234 INR	new	http://localhost:8150/product.html?id=party-navy-v2	in stock	http://localhost:8150/images/products/party-wear.jpg
party-navy-v3	Party Wear — Wine	Designer party wear with all-over gold sequin embroidery. Georgette, sequin & zari embroidery - Wine variant	1195 INR	new	http://localhost:8150/product.html?id=party-navy-v3	in stock	http://localhost:8150/images/products/party-wear.jpg
organza-lavender-v1	Organza — Emerald	Airy organza with delicate golden threadwork and pearl accents. Organza with golden threadwork - Emerald variant	1099 INR	new	http://localhost:8150/product.html?id=organza-lavender-v1	in stock	http://localhost:8150/images/products/organza.jpg
organza-lavender-v2	Organza — Royal Blue	Airy organza with delicate golden threadwork and pearl accents. Organza with golden threadwork - Royal Blue variant	1044 INR	new	http://localhost:8150/product.html?id=organza-lavender-v2	in stock	http://localhost:8150/images/products/organza.jpg
organza-lavender-v3	Organza — Wine	Airy organza with delicate golden threadwork and pearl accents. Organza with golden threadwork - Wine variant	1011 INR	new	http://localhost:8150/product.html?id=organza-lavender-v3	in stock	http://localhost:8150/images/products/organza.jpg
linen-beige-v1	Linen — Emerald	Breathable pure linen — crisp, minimal and effortlessly elegant. Pure linen - Emerald variant	849 INR	new	http://localhost:8150/product.html?id=linen-beige-v1	in stock	http://localhost:8150/images/products/linen.jpg
linen-beige-v2	Linen — Royal Blue	Breathable pure linen — crisp, minimal and effortlessly elegant. Pure linen - Royal Blue variant	807 INR	new	http://localhost:8150/product.html?id=linen-beige-v2	in stock	http://localhost:8150/images/products/linen.jpg
linen-beige-v3	Linen — Wine	Breathable pure linen — crisp, minimal and effortlessly elegant. Pure linen - Wine variant	781 INR	new	http://localhost:8150/product.html?id=linen-beige-v3	in stock	http://localhost:8150/images/products/linen.jpg
kanchipuram-peacock-v1	Kanchipuram Soft Silk — Emerald	Lighter Kanchipuram soft silk with striking peacock-green body. Semi silk - Emerald variant	2199 INR	new	http://localhost:8150/product.html?id=kanchipuram-peacock-v1	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
kanchipuram-peacock-v2	Kanchipuram Soft Silk — Royal Blue	Lighter Kanchipuram soft silk with striking peacock-green body. Semi silk - Royal Blue variant	2089 INR	new	http://localhost:8150/product.html?id=kanchipuram-peacock-v2	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
kanchipuram-peacock-v3	Kanchipuram Soft Silk — Wine	Lighter Kanchipuram soft silk with striking peacock-green body. Semi silk - Wine variant	2023 INR	new	http://localhost:8150/product.html?id=kanchipuram-peacock-v3	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
fancy-net-v1	Fancy Net — Emerald	Trendy net saree with delicate stone work — modern glam. Net with stone & sequin work - Emerald variant	1199 INR	new	http://localhost:8150/product.html?id=fancy-net-v1	in stock	http://localhost:8150/images/products/georgette.jpg
fancy-net-v2	Fancy Net — Royal Blue	Trendy net saree with delicate stone work — modern glam. Net with stone & sequin work - Royal Blue variant	1139 INR	new	http://localhost:8150/product.html?id=fancy-net-v2	in stock	http://localhost:8150/images/products/georgette.jpg
fancy-net-v3	Fancy Net — Wine	Trendy net saree with delicate stone work — modern glam. Net with stone & sequin work - Wine variant	1103 INR	new	http://localhost:8150/product.html?id=fancy-net-v3	in stock	http://localhost:8150/images/products/georgette.jpg
half-saree-red-v1	Traditional Half Saree Set — Emerald	Traditional pavadai-davani style half saree set — a cherished Tamil tradition. Silk blend two-piece - Emerald variant	1799 INR	new	http://localhost:8150/product.html?id=half-saree-red-v1	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
half-saree-red-v2	Traditional Half Saree Set — Royal Blue	Traditional pavadai-davani style half saree set — a cherished Tamil tradition. Silk blend two-piece - Royal Blue variant	1709 INR	new	http://localhost:8150/product.html?id=half-saree-red-v2	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
half-saree-red-v3	Traditional Half Saree Set — Wine	Traditional pavadai-davani style half saree set — a cherished Tamil tradition. Silk blend two-piece - Wine variant	1655 INR	new	http://localhost:8150/product.html?id=half-saree-red-v3	in stock	http://localhost:8150/images/products/kanchipuram-silk.jpg
kids-lehenga-v1	Kids Silk Lehenga Set — Emerald	Adorable silk lehenga sets — soft, comfortable and party-ready. Soft silk, comfort fit - Emerald variant	1199 INR	new	http://localhost:8150/product.html?id=kids-lehenga-v1	in stock	http://localhost:8150/images/products/soft-silk.jpg
